Case,Equation,R2
Full-2nd Order,y = : 54.10x² + -2712.85x + 34008.13,0.707
Full-3rd Order,y = : 41.45$x^3$ +-2805.70x² + 62978.21x + -468316.21,0.727
Full-4th Order,y = :-21.49$x^4$ + 2013.95$x^3$ +-70640.91x² + 1098885.79x + -6395244.10,0.733
Trimmed-2nd Order,y = : -87.39x² + 3638.74x + -37159.64,0.790
Trimmed-3rd Order,y = : 53.69$x^3$ +-3708.24x² + 84981.83x + -645886.05,0.798
Trimmed-4th Order,y = :173.49$x^4$ + -15545.27$x^3$ +521943.36x² + -7783255.12x + 43495634.20,0.809
